,Unnamed: 0,Sentence,label,super_strategy_patricia,Yann,S_Strat_Yann,annotation_patricia,AA,Vote
0,0,"The PressTV references in Wikipedia's ""Turkey-PKK Conflict"" article are not the same, but the titles are wrong.",d_07,1,0,0,0,0,0
1,1,"If you have time, can you correct the titles?",d_11,3,d_12,4,3,3,3
2,2,I had really hoped to get some more opinions on this question.,d_17,6,d_110,7,6,6,6
3,3,"I modified it a bit, possibly vote to reopen?",d_12,4,d_12,4,4,4,6
4,4,Well the only plausible explanation was that you reverted to where I removed an extraneous cat (after Homestarmy's edit) and then swapped out a template... but as you're a competent editor that just seemed odd.,d_06,1,d_03,1,1,3,1
5,5,Is that what indeed occurred?,0,0,d_05,1,4,3,1
6,6,"I didn't quite understand, what are you trying to achieve?",d_05,1,d_013,2,4,3,4
7,7,What questions do you have and what is the desired output?,d_12,4,0,0,0,4,0
8,8,"Hi, I'd like to help you with the image you just uploaded to the <url> article.",d_010,2,d_010,2,2,2,2
9,9,Can you tell me where you found it?,d_11,3,d_11,3,3,3,3
10,10,"Yes, that is the real source code.",d_05,1,d_05,1,0,0,0
11,11,"And the compilation has been performed without optimization, perhaps that is the reason?",d_12,4,d_12,4,4,4,4
12,12,In that case it might not be the answer then (hence the comment).,d_12,4,d_12,4,1,1,2
13,13,Are you using the VS web server or IIS Express?,0,0,0,0,0,0,0
14,14,Thanks Cameron.,d_110,7,d_110,7,7,7,7
15,15,"That makes sense, but then why isn't this access restricted to only copy constructors and assignment operators?",d_013,2,d_013,2,1,2,2
16,16,"""pyparsing"" appears to be a word specific to Python.",d_07,1,d_07,1,0,0,0
17,17,Is there a more general programming term for that type of action?,d_11,3,d_12,4,4,4,4
18,18,"The solution reported in the issue report is to replace any occurrence of `unset($form[$id])` with `$form[$id] = array('#language' => NULL)` in the module file; it just a matter of doing a ""search and replace"" on a file.",d_14,5,d_14,5,0,0,0
19,19,What do you exactly don't understand?,d_12,4,d_12,4,4,4,4
20,20,I haven't used those features much yet; can you explain what effect you'd like them to have on your blog?,d_12,4,d_12,4,3,4,4
21,21,"Should ignored tags make it so the user never even sees those posts, does it just affect the tag cloud, or something else?",d_14,5,d_12,4,3,4,4
